VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
hdd2coa,(2E)-hexadecenoyl-CoA,MNXM1104633,61526,,SLM:000000444,hdd2coa,JUPAQFRKPHPXLD-MSHHSVQMSA-J,JUPAQFRKPHPXLD
hdd2crn,(2E)-hexadecenoylcarnitine,MNXM9167,86031,HMDB0006317,,hdd2crn,SOYNLLDADLOGAM-ISLYRVAYSA-N,SOYNLLDADLOGAM
hdeACP,Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1),MNXM89949,,,,hdeACP,,
hdl_hs,High Density Lipoprotein,MNXM1548411,,,,hdl_hs,,
hepcoa,heptanoyl-CoA,MNXM1365051,78811,HMDB0012969,SLM:000389754,M02107,CHVYGJMBUXUTSX-SVHODSNWSA-J,CHVYGJMBUXUTSX
hepdeceth,Margaroyl-EA,MNXM61170,165587,,SLM:000598191,hepdeceth,GCCFMSAXQJECNH-UHFFFAOYSA-N,GCCFMSAXQJECNH
hestratriol,4-hydroxy-17beta-estradiol,MNXM1378157,62845,HMDB0005896,SLM:000485708,CE2179,QOZFCKXEVSGWGS-ZHIYBZGJSA-N,QOZFCKXEVSGWGS
hexc,hexacosanoate,MNXM1833,31013,HMDB0002356,SLM:000000539,hexc,XMHIUKTWLZUKEX-UHFFFAOYSA-M,XMHIUKTWLZUKEX
hexccoa,hexacosanoyl-CoA,MNXM1103880,64868,HMDB0006459,SLM:000000385,hexccoa,FHLYYFPJDVYWQH-CPIGOPAHSA-J,FHLYYFPJDVYWQH
hexccrn,Hexacosanoyl Carnitine,MNXM8714,139536,HMDB0006347,,hexccrn,KOCKWDDTAHPJSX-UHFFFAOYSA-N,KOCKWDDTAHPJSX
hexddcoa,"cis,cis-palmito-7,10-dienoyl-CoA",MNXM1529780,,,,CE0849,OKKMIEAMIHILAM-IHIOKVHOSA-J,OKKMIEAMIHILAM
hexde7coa,7-Hexadecenoyl-CoA,MNXM1524386,,HMDB0301257,,hexde7coa,MJWMOLDKMBISOB-UHFFFAOYSA-N,MJWMOLDKMBISOB
hexdeceeth,N-hexadecanoylethanolamine,MNXM107548,71464,HMDB0002100,SLM:000000149,hexdeceeth,HXYVTAGFYLMHSO-UHFFFAOYSA-N,HXYVTAGFYLMHSO
hexdectecoa,"2,4,7,10-hexadecatetraenoylcoa",MNXM1530162,,,,hexdectecoa,DNBBSGAGPHVPCV-QFOFXRAHSA-J,DNBBSGAGPHVPCV
hexdiac,hexadecanedioate,MNXM11807,76276,HMDB0000672,SLM:000000718,hexdiac,QQHJDPROMQRDLA-UHFFFAOYSA-L,QQHJDPROMQRDLA
hexdicoa,hexadecanedioyl-CoA,MNXM1101299,77085,,SLM:000389605,hexdicoa,GTCSHNMTNCXODY-CCAJQFMUSA-I,GTCSHNMTNCXODY
hexdpencoa,"2,4,7,10,13-hexadecapentaenoylcoa",MNXM1530163,,,,hexdpencoa,HVDWUYYZEXILFX-NQXHYLSPSA-J,HVDWUYYZEXILFX
hexdtr,"all-cis-7,10,13-hexadecatrienoic acid",MNXM1107230,22340,,SLM:000500671,hexdtr,KBGYPXOSNDMZRV-PDBXOOCHSA-N,KBGYPXOSNDMZRV
hexdtrcoa,"7,10,13-hexadecatrienoylcoa",MNXM1530164,,,,hexdtrcoa,ABCIQUBYFOVMTP-VQLNGNBXSA-J,ABCIQUBYFOVMTP
hexe3coa,trans-3-Hexenoyl-CoA,MNXM1365451,,HMDB0006522,,hexe3coa,SKDDJNFRAZIJIG-PFNGVMQSSA-N,SKDDJNFRAZIJIG
hexgly,N-hexanoylglycine,MNXM587747,64390,HMDB0000701,,hexgly,UPCKIPHSXMXJOX-UHFFFAOYSA-N,UPCKIPHSXMXJOX
hgentis,homogentisate,MNXM345,16169,HMDB0000130,,hgentis,IGMNYECMUMZDDF-UHFFFAOYSA-M,IGMNYECMUMZDDF
hhxdcal,(2R)-hydroxyhexadecanal,MNXM35167,138635,,SLM:000000369,hhxdcal,BKBDVQVDRVGXKT-MRXNPFEDSA-N,BKBDVQVDRVGXKT
his_L,L-histidine,MNXM1107769,57595,HMDB0000177,,his_L,HNDVDQJCIGZPNO-YFKPBYRVSA-N,HNDVDQJCIGZPNO
hisargcys,His-Arg-Cys,MNXM744734,164236,,,hisargcys,JHVCZQFWRLHUQR-DCAQKATOSA-N,JHVCZQFWRLHUQR
hisargser,Histidyl-Arginyl-Serine,MNXM744735,,,,hisargser,ZPVJJPAIUZLSNE-OUAUKWLOSA-O,ZPVJJPAIUZLSNE
hisasp,Histidyl-Aspartate,MNXM744736,,,,hisasp,MDCTVRUPVLZSPG-RQJHMYQMSA-M,MDCTVRUPVLZSPG
hiscyscys,Histidyl-Cystyl-Cysteine,MNXM744737,,,,hiscyscys,UVUIXIVPKVMONA-HRDYMLBCSA-N,UVUIXIVPKVMONA
hisglnala,Histidyl-Glutaminyl-Alanine,MNXM744738,,,,hisglnala,UPGJWSUYENXOPV-QNSHHTMESA-N,UPGJWSUYENXOPV
hisglu,Histidyl-Glutamate,MNXM744739,,,,hisglu,VHOLZZKNEBBHTH-SFYZADRCSA-M,VHOLZZKNEBBHTH
hisglugln,Histidyl-Glutamyl-Glutamine,MNXM744740,,,,hisglugln,BQFGKVYHKCNEMF-OUAUKWLOSA-M,BQFGKVYHKCNEMF
hisglylys,Histidyl-Lysyl-Lysine,MNXM1530165,,,,hisglylys,UMBKDWGQESDCTO-UHFFFAOYSA-M,UMBKDWGQESDCTO
hishislys,His-His-Lys,MNXM744742,164531,,,hishislys,AKAPKBNIVNPIPO-KKUMJFAQSA-N,AKAPKBNIVNPIPO
hislysala,Histidyl-Lysyl-Alanine,MNXM744743,,,,hislysala,PGRPSOUCWRBWKZ-JLLWLGSASA-O,PGRPSOUCWRBWKZ
hislysglu,Histidyl-Lysyl-Glutamate,MNXM744744,,,,hislysglu,JUIOPCXACJLRJK-FRRDWIJNSA-N,JUIOPCXACJLRJK
hislysile,His-Lys-Ile,MNXM744745,164647,,,hislysile,LDFWDDVELNOGII-MXAVVETBSA-N,LDFWDDVELNOGII
hislysthr,Histidyl-Lysyl-Threonine,MNXM744746,,,,hislysthr,BKOVCRUIXDIWFV-FOUMNBMASA-O,BKOVCRUIXDIWFV
hislysval,His-Lys-Val,MNXM744747,164667,,,hislysval,TVMNTHXFRSXZGR-IHRRRGAJSA-N,TVMNTHXFRSXZGR
hismet,His-Met,MNXM126513,74053,HMDB0028891,,hismet,AYIZHKDZYOSOGY-IUCAKERBSA-N,AYIZHKDZYOSOGY
hismetgln,Histidyl-Methionyl-Glutamine,MNXM744748,,,,hismetgln,NKRWVZQTPXPNRZ-GRYCIOLGSA-N,NKRWVZQTPXPNRZ
hisphearg,Histidyl-Phenylalanyl-Arginine,MNXM1530166,,,,hisphearg,AYUOWUNWZGTNKB-UHFFFAOYSA-O,AYUOWUNWZGTNKB
hisprolys,Histidyl-Prolyl-Lysine,MNXM744750,,,,hisprolys,PGXZHYYGOPKYKM-MGPQQGTHSA-O,PGXZHYYGOPKYKM
hista,histamine,MNXM635,58432,HMDB0000870,,hista,NTYJJOPFIAHURM-UHFFFAOYSA-O,NTYJJOPFIAHURM
histrphis,Histidyl-Tryptophanyl-Histidine,MNXM1530167,,,,histrphis,XSEAJSPAOTZXJE-UHFFFAOYSA-N,XSEAJSPAOTZXJE
hLkynr,3-hydroxy-L-kynurenine,MNXM728564,58125,HMDB0000732,,hLkynr,VCKPUUFAIGNJHC-LURJTMIESA-N,VCKPUUFAIGNJHC
hmbil,hydroxymethylbilane,MNXM547,57845,HMDB0001137,,hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F,WDFJYRZCZIUBPR
hmcarn,L-homocarnosine,MNXM56612,143075,HMDB0000745,,HC00576,CCLQKVKJOGVQLU-QMMMGPOBSA-N,CCLQKVKJOGVQLU
hmcr,L-homocitrulline,MNXM4639,58148,HMDB0000679,,hmcr,XIGSAGMEBXLVJJ-YFKPBYRVSA-N,XIGSAGMEBXLVJJ
hmgcoa,(3S)-hydroxy-3-methylglutaryl-CoA,MNXM1104235,43074,HMDB0001375,SLM:000000299,hmgcoa,CABVTRNMFUVUDM-VRHQGPGLSA-I,CABVTRNMFUVUDM
hnifedipine,hydroxy nifedipine,MNXM1548418,,,,hnifedipine,HYIMSNHJOBLJNT-UHFFFAOYSA-N,HYIMSNHJOBLJNT
hom_L,L-homoserine,MNXM353,57476,HMDB0000719,,hom_L,UKAUYVFTDYCKQA-VKHMYHEASA-N,UKAUYVFTDYCKQA
homoval,homovanillate,MNXM3287,133744,HMDB0000118,,homoval,QRMZSPFSDQBLIX-UHFFFAOYSA-M,QRMZSPFSDQBLIX
hpdca,heptadecanoate,MNXM11802,32366,HMDB0002259,SLM:000001095,hpdca,KEMQGTRYUADPNZ-UHFFFAOYSA-M,KEMQGTRYUADPNZ
hpdcacoa,heptadecanoyl-CoA,MNXM1365119,74307,HMDB0006497,SLM:000000632,hpdcacoa,DRABUZIHHACUPI-DUPKZGIXSA-J,DRABUZIHHACUPI
hpdcacrn,O-heptadecanoylcarnitine,MNXM8707,131887,HMDB0006210,,hpdcacrn,DWSFAVOTORHAAL-UHFFFAOYSA-N,DWSFAVOTORHAAL
hpdece,trans-2-pentadecenoic acid,MNXM733008,78992,,,hpdece,HOGWBMWOBRRKCD-BUHFOSPRSA-N,HOGWBMWOBRRKCD
hpdececoa,(2E)-Pentadecenoyl-CoA,MNXM728892,,HMDB0062229,,hpdececoa,BUFWYEICGKLDLP-UHFFFAOYSA-N,BUFWYEICGKLDLP
hpyr,3-hydroxypyruvate,MNXM392,17180,HMDB0001352,,hpyr,HHDDCCUIIUWNGJ-UHFFFAOYSA-M,HHDDCCUIIUWNGJ
hretn,all-trans-4-hydroxyretinoate,MNXM1107685,134178,HMDB0006254,SLM:000597726,CE2956,KGUMXGDKXYTTEY-FRCNGJHJSA-M,KGUMXGDKXYTTEY
hs,"heparan sulfate, free chain",MNXM1530168,,,,hs,WKPUACLQLIIVJJ-RHKLHVFKSA-M,WKPUACLQLIIVJJ
hs_deg1,"heparan sulfate, degradation product 1",MNXM1548420,,,,hs_deg1,,
hs_deg10,"heparan sulfate, degradation product 10",MNXM1548421,,,,hs_deg10,,
hs_deg11,"heparan sulfate, degradation product 11",MNXM1548422,,,,hs_deg11,,
hs_deg12,"heparan sulfate, degradation product 12",MNXM1548423,,,,hs_deg12,,
hs_deg13,"heparan sulfate, degradation product 13",MNXM1548424,,,,hs_deg13,,
hs_deg14,"heparan sulfate, degradation product 14",MNXM1548425,,,,hs_deg14,,
hs_deg15,"heparan sulfate, degradation product 15",MNXM1548426,,,,hs_deg15,,
hs_deg16,"heparan sulfate, degradation product 16",MNXM1548427,,,,hs_deg16,,
hs_deg17,"heparan sulfate, degradation product 17",MNXM1548428,,,,hs_deg17,,
hs_deg18,"heparan sulfate, degradation product 18",MNXM1548429,,,,hs_deg18,,
hs_deg19,"heparan sulfate, degradation product 19",MNXM1548430,,,,hs_deg19,,
hs_deg2,"heparan sulfate, degradation product 2",MNXM1548431,,,,hs_deg2,,
hs_deg20,"heparan sulfate, degradation product 20",MNXM1548432,,,,hs_deg20,,
hs_deg21,"IdoA2S-beta-1,4-GlcNAc(3S)-alpha-1,4-GlcA-beta-1,3-Gal-beta-1,3-Gal-beta-1,4-Xylose",MNXM1548433,,,,hs_deg21,,
hs_deg22,"IdoA-beta-1,4-GlcNAc(3S)-alpha-1,4-GlcA-beta-1,3-Gal-beta-1,3-Gal-beta-1,4-Xylose",MNXM1548434,,,,hs_deg22,,
hs_deg23,"GlcNAc(3S)-alpha-1,4-GlcA-beta-1,3-Gal-beta-1,3-Gal-beta-1,4-Xylose",MNXM1548435,,,,hs_deg23,,
hs_deg24,GlcNAc-GlcA-(Gal)2-Xyl,MNXM1548436,,,,hs_deg24,,
hs_deg25,"GlcA-beta-1,3-Gal-beta-1,3-Gal-beta-1,4-Xylose",MNXM1548437,,,,hs_deg25,,
hs_deg3,"heparan sulfate, degradation product 3",MNXM1548438,,,,hs_deg3,,
hs_deg4,"heparan sulfate, degradation product 4",MNXM1548439,,,,hs_deg4,,
hs_deg5,"heparan sulfate, degradation product 5",MNXM1548440,,,,hs_deg5,,
hs_deg6,"heparan sulfate, degradation product 6",MNXM1548441,,,,hs_deg6,,
hs_deg7,"heparan sulfate, degradation product 7",MNXM1548442,,,,hs_deg7,,
hs_deg8,"heparan sulfate, degradation product 8",MNXM1548443,,,,hs_deg8,,
hs_deg9,"heparan sulfate, degradation product 9",MNXM1548444,,,,hs_deg9,,
hs_pre1,"heparan sulfate, precursor 1",MNXM1548445,,,,hs_pre1,,
hs_pre10,(GlcN2S-GlcA)4-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548446,,,,hs_pre10,,
hs_pre11,(GlcN2S-IdoA-GlcN2S-GlcA)2-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548447,,,,hs_pre11,,
hs_pre12,GlcN2S-IdoA-GlcN2S-GlcA2S-GlcN2S-IdoA2S-GlcN2S-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548448,,,,hs_pre12,,
hs_pre13,"GlcN2S-IdoA-GlcN2,6diS-GlcA2S-GlcN2,6diS-IdoA2S-GlcN2,6diS-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein)",MNXM1548449,,,,hs_pre13,,
hs_pre14,"heparan sulfate, precursor 14",MNXM1548450,,,,hs_pre14,,
hs_pre15,"heparan sulfate, precursor 15",MNXM1548451,,,,hs_pre15,,
hs_pre2,"heparan sulfate, precursor 2",MNXM1548452,,,,hs_pre2,,
hs_pre3,GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548453,,,,hs_pre3,,
hs_pre4,GlcA-GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548454,,,,hs_pre4,,
hs_pre5,(GlcNAc-GlcA)2-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548455,,,,hs_pre5,,
hs_pre6,GlcA-(GlcNAc-GlcA)2-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548456,,,,hs_pre6,,
hs_pre7,(GlcNAc-GlcA)3-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548457,,,,hs_pre7,,
hs_pre8,GlcA-(GlcNAc-GlcA)3-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548458,,,,hs_pre8,,
hs_pre9,(GlcNAc-GlcA)4-GlcNAc-GlcA-Gal-Gal-Xyl-L-Ser (protein),MNXM1548459,,,,hs_pre9,,
hspg,heparan sulfate proteoglycan,MNXM1548460,,,,hspg,,
htaxol,6 alpha hydroxy taxol/ 6 alpha hydroxy paclitaxel,MNXM1530169,,,,htaxol,NDCWHEDPSFRTDA-RYCBZORDSA-N,NDCWHEDPSFRTDA
hx2coa,(2E)-hexenoyl-CoA,MNXM1104717,62077,,SLM:000001034,hx2coa,OINXHIBNZUUIMR-IXUYQXAASA-J,OINXHIBNZUUIMR
hxa,hexanoate,MNXM1653,17120,HMDB0000535,SLM:000001196,M02120,FUZZWVXGSFPDMH-UHFFFAOYSA-M,FUZZWVXGSFPDMH
hxan,hypoxanthine,MNXM732487,17368,HMDB0000157,,hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N,FDGQSTZJBFJUBT
hxcoa,hexanoyl-CoA,MNXM1103616,62620,HMDB0002845,SLM:000000705,HC01409,OEXFMSFODMQEPE-HDRQGHTBSA-J,OEXFMSFODMQEPE
hxdcal,hexadecanal,MNXM528,17600,HMDB0001551,SLM:000000388,hxdcal,NIOYUNMRJMEDGI-UHFFFAOYSA-N,NIOYUNMRJMEDGI
hyochol,Hyocholic acid; gamma-Muricholate,MNXM1530170,,,,hyochol,DKPMWHFRUGMUKF-FVCCXMCMSA-M,DKPMWHFRUGMUKF
hyptaur,hypotaurine,MNXM726,57853,HMDB0000965,,hyptaur,VVIUBCNYACGLLV-UHFFFAOYSA-N,VVIUBCNYACGLLV
i,iodide,MNXM1378327,16382,HMDB0012238,,M02146,XMBWDFGMSWQBCA-UHFFFAOYSA-M,XMBWDFGMSWQBCA
ibcoa,2-methylpropanoyl-CoA,MNXM1104531,57338,HMDB0001243,SLM:000389506,ibcoa,AEWHYWSPVRZHCT-NDZSKPAWSA-J,AEWHYWSPVRZHCT
ibup_R,ibuprofen,MNXM1373366,5855,HMDB0001872,,ibup_R,HEFNNWSXXWATRW-UHFFFAOYSA-N,HEFNNWSXXWATRW
ibup_S,ibuprofen,MNXM1373366,5855,HMDB0001872,,ibup_R,HEFNNWSXXWATRW-UHFFFAOYSA-N,HEFNNWSXXWATRW
ibupcoa_R,ibuprofen-CoA-R form,MNXM1548501,,,,ibupcoa_R,,
ibupcoa_S,(2R)-ibuprofenoyl-CoA,MNXM1365715,,,,ibupcoa_S,ZWOQHSZKILPKKA-UHFFFAOYSA-J,ZWOQHSZKILPKKA
ibupgluc,Ibuprofen acyl glucuronide,MNXM744753,,HMDB0253334,,ibupgluc,ABOLXXZAJIAUGR-UHFFFAOYSA-N,ABOLXXZAJIAUGR
icdchol,Isochenodeoxycholate,MNXM1530171,,,,icdchol,RUDATBOHQWOJDD-QYJDQBCHSA-M,RUDATBOHQWOJDD
icit,isocitrate(3-),MNXM1376115,16087,HMDB0000193,,icit,ODBLHEXUDAPZAU-UHFFFAOYSA-K,ODBLHEXUDAPZAU
id3acald,indole-3-acetaldehyde,MNXM518,18086,HMDB0001190,,id3acald,WHOOUMGHGSPMGR-UHFFFAOYSA-N,WHOOUMGHGSPMGR
idl_hs,Intermediate Density Lipoprotein,MNXM1548502,,,,idl_hs,,
idour,aldehydo-L-iduronate,MNXM1371445,21338,,,idour,IAJILQKETJEXLJ-SKNVOMKLSA-M,IAJILQKETJEXLJ
idp,IDP,MNXM1104559,58280,,,idp,JPXZQMKKFWMMGK-KQYNXXCUSA-K,JPXZQMKKFWMMGK
ile_L,L-isoleucine,MNXM1366448,58045,HMDB0000172,,ile_L,AGPKZVBTJJNPAG-WHFBIAKZSA-N,AGPKZVBTJJNPAG
ileargile,Isoleucyl-Arginyl-Isoleucine,MNXM1530172,,,,ileargile,ATXGFMOBVKSOMK-UHFFFAOYSA-O,ATXGFMOBVKSOMK
ileasnhis,Isoleucyl-Asparaginyl-Histidine,MNXM744755,,,,ileasnhis,IIXDMJNYALIKGP-DUQDJFPFSA-N,IIXDMJNYALIKGP
ileasp,Isolecyl-Aspartate,MNXM744756,,,,ileasp,WKXVAXOSIPTXEC-KVWYPCGYSA-M,WKXVAXOSIPTXEC
ileglnglu,Isolecyl-Glutaminyl-Glutamate,MNXM744757,,,,ileglnglu,HOLOYAZCIHDQNS-XKNZDDLCSA-M,HOLOYAZCIHDQNS
ileglyarg,Isolecyl-Glycyl-Arginine,MNXM744758,,,,ileglyarg,NHJKZMDIMMTVCK-HOGWDWRMSA-O,NHJKZMDIMMTVCK
ileprolys,Isolecyl-Prolyl-Lysine,MNXM744759,,,,ileprolys,NLZVTPYXYXMCIP-DGKWRVCWSA-O,NLZVTPYXYXMCIP
ileserarg,Isolecyl-Seryl-Arginine,MNXM744760,,,,ileserarg,JHNJNTMTZHEDLJ-HUAZRZQGSA-O,JHNJNTMTZHEDLJ
iletrptyr,Isolecyl-Tryptophanyl-Tyrosine,MNXM1530173,,,,iletrptyr,MITYXXNZSZLHGG-UHFFFAOYSA-N,MITYXXNZSZLHGG
im4ac,imidazole-4-acetate,MNXM728089,57969,HMDB0002024,,im4ac,PRJKNHOMHKJCEJ-UHFFFAOYSA-M,PRJKNHOMHKJCEJ
im4act,imidazole-4-acetaldehyde,MNXM1745,27398,HMDB0003905,,im4act,MQSRGWNVEZRLDK-UHFFFAOYSA-N,MQSRGWNVEZRLDK
imp,IMP,MNXM1101868,58053,HMDB0000175,,imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L,GRSZFWQUAKGDAV
ind3ac,(indol-3-yl)acetate,MNXM383,30854,HMDB0000197,,ind3ac,SEOVTRFCIGRIMH-UHFFFAOYSA-M,SEOVTRFCIGRIMH
ind56qn,"indole-5,6-quinone",MNXM5183,27406,HMDB0006779,,M03163,IGGVVGHJSQSLFO-UHFFFAOYSA-N,IGGVVGHJSQSLFO
indole,indole,MNXM735090,16881,HMDB0000738,,indole,SIKJAQJRHWYJAI-UHFFFAOYSA-N,SIKJAQJRHWYJAI
indoxyl,indoxyl,MNXM1373557,17840,HMDB0004094,,indoxyl,PCKPVGOLPKLUHR-UHFFFAOYSA-N,PCKPVGOLPKLUHR
inds,indoxyl sulfate,MNXM1100601,144643,HMDB0000682,,inds,BXFFHSIDQOFMLE-UHFFFAOYSA-M,BXFFHSIDQOFMLE
inost,myo-inositol,MNXM1365428,17268,HMDB0000211,,inost,CDAISMWEOUEBRE-GPIVLXJGSA-N,CDAISMWEOUEBRE
ins,inosine,MNXM1103335,17596,HMDB0000195,,ins,UGQMRVRMYYASKQ-KQYNXXCUSA-N,UGQMRVRMYYASKQ
iodine,diiodine,MNXM50870,17606,HMDB0000675,,iodine,PNDPGZBMCMUPRI-UHFFFAOYSA-N,PNDPGZBMCMUPRI
ipdp,isopentenyl diphosphate,MNXM83,128769,HMDB0001347,SLM:000000303,ipdp,NUHSROFQTUXZQQ-UHFFFAOYSA-K,NUHSROFQTUXZQQ
isochol,Isochenodeoxycholate,MNXM1530171,,,,icdchol,RUDATBOHQWOJDD-QYJDQBCHSA-M,RUDATBOHQWOJDD
isolvstacid,"3'-hydroxy-iso-delta-4',5'-hydroxy acid form of lovastatin",MNXM744762,,,,isolvstacid,RHPKNHDLZOJVLI-UHFFFAOYSA-N,RHPKNHDLZOJVLI
isomal,isomaltose,MNXM1364830,28189,,,isomal,DLRVVLDZNNYCBX-RTPHMHGBSA-N,DLRVVLDZNNYCBX
itaccoa,itaconyl-CoA,MNXM1104182,57381,HMDB0003377,,itaccoa,NFVGYLGSSJPRKW-CITAKDKDSA-I,NFVGYLGSSJPRKW
itacon,itaconate,MNXM1747,17240,HMDB0002092,,itacon,LVHBHZANLOWSRM-UHFFFAOYSA-L,LVHBHZANLOWSRM
itp,ITP,MNXM1103428,61402,HMDB0000189,,itp,HAEJPQIATWHALX-KQYNXXCUSA-J,HAEJPQIATWHALX
ivcoa,Isovaleryl-CoA,MNXM1530179,,,,ivcoa,UYVZIWWBJMYRCD-VZEICDQOSA-J,UYVZIWWBJMYRCD
ivcrn,O-3-methylbutanoyl-(R)-carnitine,MNXM1101229,70819,HMDB0000688,SLM:000390086,ivcrn,IGQBPDJNUXPEMT-SNVBAGLBSA-N,IGQBPDJNUXPEMT
k,K(+),MNXM95,29103,HMDB0000586,,k,NPYPAHLBTDXSSS-UHFFFAOYSA-N,NPYPAHLBTDXSSS
kdn,2-keto-3-deoxy-D-glycero-D-galactononic acid,MNXM730859,,HMDB0000425,,kdn,FQHUAUMYHAJTDH-IMSDGWMTSA-M,FQHUAUMYHAJTDH
kdnp,2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate,MNXM9850,,,,kdnp,ONDNEVXIOCSZAT-IMSDGWMTSA-K,ONDNEVXIOCSZAT
ksi,Keratan sulfate I,MNXM1104651,,HMDB0001165,,ksi,KXCLCNHUUKTANI-RBIYJLQWSA-N,KXCLCNHUUKTANI
ksi_deg1,"keratan sulfate I, degradation product 1",MNXM1548530,,,,ksi_deg1,,
ksi_deg10,"keratan sulfate I, degradation product 10",MNXM1548531,,,,ksi_deg10,,
ksi_deg11,"keratan sulfate I, degradation product 11",MNXM1548532,,,,ksi_deg11,,
ksi_deg12,"keratan sulfate I, degradation product 12",MNXM1548533,,,,ksi_deg12,,
ksi_deg13,"keratan sulfate I, degradation product 13",MNXM1548534,,,,ksi_deg13,,
ksi_deg14,"keratan sulfate I, degradation product 14",MNXM1548535,,,,ksi_deg14,,
ksi_deg15,"keratan sulfate I, degradation product 15",MNXM1548536,,,,ksi_deg15,,
ksi_deg16,"keratan sulfate I, degradation product 16",MNXM1548537,,,,ksi_deg16,,
ksi_deg17,"keratan sulfate I, degradation product 17",MNXM1548538,,,,ksi_deg17,,
ksi_deg18,"keratan sulfate I, degradation product 18",MNXM1548539,,,,ksi_deg18,,
ksi_deg19,"keratan sulfate I, degradation product 19",MNXM1548540,,,,ksi_deg19,,
ksi_deg2,"keratan sulfate I, degradation product 2",MNXM1548541,,,,ksi_deg2,,
ksi_deg20,"keratan sulfate I, degradation product 20",MNXM1548542,,,,ksi_deg20,,
ksi_deg21,"keratan sulfate I, degradation product 21",MNXM1548543,,,,ksi_deg21,,
ksi_deg22,"keratan sulfate I, degradation product 22",MNXM1548544,,,,ksi_deg22,,
ksi_deg23,"keratan sulfate I, degradation product 23",MNXM1548545,,,,ksi_deg23,,
ksi_deg24,"keratan sulfate I, degradation product 24",MNXM1548546,,,,ksi_deg24,,
ksi_deg25,"keratan sulfate I, degradation product 25",MNXM1548547,,,,ksi_deg25,,
ksi_deg26,"keratan sulfate I, degradation product 26",MNXM1548548,,,,ksi_deg26,,
ksi_deg27,"keratan sulfate I, degradation product 27",MNXM1548549,,,,ksi_deg27,,
ksi_deg28,"keratan sulfate I, degradation product 28",MNXM1548550,,,,ksi_deg28,,
ksi_deg29,"keratan sulfate I, degradation product 29",MNXM1548551,,,,ksi_deg29,,
ksi_deg3,"keratan sulfate I, degradation product 3",MNXM1548552,,,,ksi_deg3,,
ksi_deg30,"keratan sulfate I, degradation product 30",MNXM1548553,,,,ksi_deg30,,
ksi_deg31,"keratan sulfate I, degradation product 31",MNXM1548554,,,,ksi_deg31,,
ksi_deg32,"keratan sulfate I, degradation product 32",MNXM1548555,,,,ksi_deg32,,
ksi_deg33,"keratan sulfate I, degradation product 33",MNXM1548556,,,,ksi_deg33,,
ksi_deg34,"keratan sulfate I, degradation product 34",MNXM1548557,,,,ksi_deg34,,
ksi_deg35,"keratan sulfate I, degradation product 35",MNXM1548558,,,,ksi_deg35,,
ksi_deg36,"keratan sulfate I, degradation product 36",MNXM1548559,,,,ksi_deg36,,
ksi_deg37,"keratan sulfate I, degradation product 37",MNXM1548560,,,,ksi_deg37,,
ksi_deg38,"keratan sulfate I, degradation product 38",MNXM1548561,,,,ksi_deg38,,
ksi_deg39,"keratan sulfate I, degradation product 39",MNXM1548562,,,,ksi_deg39,,
ksi_deg4,"keratan sulfate I, degradation product 4",MNXM1548563,,,,ksi_deg4,,
ksi_deg40,"keratan sulfate I, degradation product 40",MNXM1548564,,,,ksi_deg40,,
ksi_deg41,"keratan sulfate I, degradation product 41",MNXM1548565,,,,ksi_deg41,,
ksi_deg5,"keratan sulfate I, degradation product 5",MNXM1548566,,,,ksi_deg5,,
ksi_deg6,"keratan sulfate I, degradation product 6",MNXM1548567,,,,ksi_deg6,,
ksi_deg7,"keratan sulfate I, degradation product 7",MNXM1548568,,,,ksi_deg7,,
ksi_deg8,"keratan sulfate I, degradation product 8",MNXM1548569,,,,ksi_deg8,,
ksi_deg9,"keratan sulfate I, degradation product 9",MNXM1548570,,,,ksi_deg9,,
ksi_pre1,"keratan sulfate I biosynthesis, precursor 1",MNXM1548571,,,,ksi_pre1,,
ksi_pre10,"keratan sulfate I biosynthesis, precursor 10",MNXM1548572,,,,ksi_pre10,,
ksi_pre11,"keratan sulfate I biosynthesis, precursor 11",MNXM1548573,,,,ksi_pre11,,
ksi_pre12,"keratan sulfate I biosynthesis, precursor 12",MNXM1548574,,,,ksi_pre12,,
ksi_pre13,"keratan sulfate I biosynthesis, precursor 13",MNXM1548575,,,,ksi_pre13,,
