VmhNames,MetNames,MetaNetX,CHEBI,HMDB,SwissLipids,VMH,InChIkey,InChIkey2D
20ahchsterol,20-hydroxycholesterol,MNXM1366414,1296,HMDB0006283,,20ahchsterol,MCKLJFJEQRYRQT-APGJSSKUSA-N,MCKLJFJEQRYRQT
21hprgnlone,21-hydroxypregnenolone,MNXM735991,28043,HMDB0004026,,21hprgnlone,MOIQRAOBRXUWGN-WPWXJNKXSA-N,MOIQRAOBRXUWGN
23cump,"2',3'-cyclophospho-UMP",MNXM3150,60873,HMDB0011640,,23cump,HWDMHJDYMFRXOX-XVFCMESISA-M,HWDMHJDYMFRXOX
23dh1i56dio,dopaminechrome,MNXM744408,189002,HMDB0248311,,23dh1i56dio,XDEURYRPQDIBSL-UHFFFAOYSA-N,XDEURYRPQDIBSL
23doguln,"2,3-dioxo-L-gulonate",MNXM1342754,57441,HMDB0005971,,23doguln,GJQWCDSAOUMKSE-STHAYSLISA-M,GJQWCDSAOUMKSE
23dpg,"(2R)-2,3-bisphosphoglycerate",MNXM892,58248,HMDB0001294,,23dpg,XOHUEYCVLUUEJJ-UWTATZPHSA-I,XOHUEYCVLUUEJJ
2425dhvitd2,"(24R)-24,25-Dihydroxyvitamin D2/(24R)-24,25-dihydroxyergocalciferol",MNXM30723,231225,,,2425dhvitd2,BPEQZNMKGFTMQE-LXHCYJFYSA-N,BPEQZNMKGFTMQE
2425dhvitd3,secalciferol,MNXM1101169,28818,HMDB0006226,SLM:000000476,2425dhvitd3,FCKJYANJHNLEEP-XRWYNYHCSA-N,FCKJYANJHNLEEP
24nph,4-nitrocatechol,MNXM1982,57730,HMDB0002916,,24nph,XJNPNXSISMKQEX-UHFFFAOYSA-M,XJNPNXSISMKQEX
25aics,(2S)-2-[5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamido]succinate,MNXM1104647,58443,HMDB0000797,,25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J,NAQGHJTUZRHGAC
25hvitd2,25-hydroxyvitamin D2,MNXM734758,86319,HMDB0001438,SLM:000485671,25hvitd2,KJKIIUAXZGLUND-ICCVIKJNSA-N,KJKIIUAXZGLUND
25hvitd3,calcidiol,MNXM1378288,17933,HMDB0003550,SLM:000000474,25hvitd3,JWUBBDSIWDLEOM-DTOXIADCSA-N,JWUBBDSIWDLEOM
2amac,2-aminoprop-2-enoate,MNXM734499,76565,HMDB0003609,,2amac,UQBOJOOOTLPNST-UHFFFAOYSA-N,UQBOJOOOTLPNST
2ameph,(2-aminoethyl)phosphonate,MNXM1692,57418,HMDB0011747,,2aeppn,QQVDJLLNRSOCEL-UHFFFAOYSA-N,QQVDJLLNRSOCEL
